"traebetegn_kode";"trae_slaegt_latin";"trae_art_latin";"traebetegn_dansk";"beskrivelse"
1089999;"Crataegus";"Anden crataegus";"Tjørn - anden art";""
1090000;"Fagus";"Ikke oplyst";"Bøg - art ikke oplyst";""
1090001;"Fagus";"sylvatica";"Almindelig Bøg";""
1099999;"Fagus";"Anden fagus";"Bøg - anden art";""
1100000;"Fraxinus";"ikke oplyst";"Ask - art ikke oplyst";""
1100001;"Fraxinus";"excelsior";"Almindelig Ask";""
1100002;"Fraxinus";"pensylvanica";"Sort af Ask";"Anbefalet gade og vejtræ"
1100003;"Fraxinus";"americana";"Hvid ask";""
1100004;"Fraxinus";"angustifolia";"Smalbladet ask";""
1100005;"Fraxinus";"ornus";"Manna-ask";""
1109999;"Fraxinus";"Anden fraxinus";"Ask - anden art";""
1110000;"Juglans";"Ikke oplyst";"Valnød - art ikke oplyst";""
1110001;"Juglans";"nigra";"Sort valnød";""
1110002;"Juglans";"regia";"Valnød";""
1119999;"Juglans";"Anden juglans";"Valnød - anden art";""
1120000;"Larix";"Ikke oplyst";"Lærk - art ikke oplyst";""
1120001;"Larix";"decidua";"Europæisk Lærk";""
1120002;"Larix";"kaempferi";"Japansk lærk";""
1129999;"Larix";"Anden larix";"Lærk - anden art";""
1130000;"Malus";"Ikke oplyst";"Æble/Abild - art ikke oplyst";""
1130001;"Malus";"baccata";"Bæræble / Prydæble";""
1130002;"Malus";"sylvestris";"Vild skovæble / skovabild";""
1139999;"Malus";"Anden malus";"Æble/abild - anden art";""
1140000;"Picea";"Ikke oplyst";"Gran - art ikke oplyst";""
1140001;"Picea";"abies";"Rød-gran";""
1140002;"Picea";"glauca";"Hvid-gran";""
1140003;"Picea";"omorika";"Søjlegran";""
1140004;"Picea";"sitchensis";"Sitkagran";""
1149999;"Picea";"Anden picea";"Gran - anden art";""
1150000;"Pinus";"Ikke oplyst";"Fyr - art ikke oplyst";""
1150001;"Pinus";"contorta";"Klitfyr";""
1150002;"Pinus";"mugo";"Bjergfyr";""
1150003;"Pinus";"nigra";"Østrigsk fyr";""
1150004;"Pinus";"sylvestris";"Skovfyr";""
1159999;"Pinus";"Anden pinus";"Fyr - anden art";""
1160000;"Platanus";"Ikke oplyst";"Platan - art ikke oplyst";""
1160001;"Platanus";"x acerifolia";"Almindelig platan";"Anbefalet gade og vejtræ"
1169999;"Platanus";"Anden platanus";"Platan - anden art";""
1170000;"Populus";"Ikke oplyst";"Poppel / Asp - art ikke oplyst";""
1170001;"Populus";"alba";"Sølvpoppel";""
1170002;"Populus";"x canadensis";"Canadisk poppel";""
1170003;"Populus";"x canescens";"gråpoppel";"Anbefalet gade og vejtræ"
1170004;"Populus";"tremula";"Bævreasp";""
1170005;"Populus";"tremuloides";"Amerikansk asp";""
1179999;"Populus";"Anden populus";"Poppel / Asp - anden art";""
1180000;"Prunus";"Ikke oplyst";"Kirsebær - art ikke oplyst";""
1180001;"Prunus";"avium";"Fuglekirsebær";"Anbefalet gade og vejtræ"
1180002;"Prunus";"cerasifera";"Mirabel";""
1180003;"Prunus";"mahaleb";"Weischel";""
1180004;"Prunus";"padus";"almindelig hæg";""
1180005;"Prunus";"spinosa";"Slåen";""
1189999;"Prunus";"Anden prunus";"Kirsebær - anden art";""
1190000;"Quercus";"Ikke oplyst";"Eg - art ikke oplyst";""
1190001;"Quercus";"cerris";"Frynseeg";"Anbefalet gade og vejtræ"
1190002;"Quercus";"frainetto";"Ungarnsk eg";""
1190003;"Quercus";"petraea";"Vintereg";"Anbefalet gade og vejtræ"
1190004;"Quercus";"robur";"Almindelig eg, stilkeg";"Anbefalet gade og vejtræ"
1190005;"Quercus";"rubra";"Rød-eg";""
1199999;"Quercus";"Anden quercus";"Eg - anden art";""
1200000;"Robinia";"Ikke oplyst";"Robinie - art ikke oplyst";""
1200001;"Robinia";"pseudoacacia";"Almindelig robinie";"Anbefalet gade og vejtræ"
1209999;"Robinia";"Anden robinia";"Robinie - anden art";""
1210000;"Salix";"Ikke oplyst";"Pil - art ikke oplyst";""
1210001;"Salix";"alba";"Hvidpil";"Anbefalet gade og vejtræ"
1210002;"Salix";"caprea";"Sejlepil";""
1210003;"Salix";"x sepulcralis";"Pil /hængepil  (Salix x sepulcralis)";""
1210004;"Salix";"baccata";"(Salix baccata)";""
1219999;"Salix";"Anden salix";"Pil - anden art";""
1220000;"Sorbus";"Ikke oplyst";"Røn - art ikke oplyst";""
1220001;"Sorbus";"aucaparia";"Almindelig Røn";""
1220002;"Sorbus";"intermedia";"SejleRøn";""
1220003;"Sorbus";"latifolia";"Bredbladet røn";"Anbefalet gade og vejtræ"
1229999;"Sorbus";"Anden sorbus";"Røn - anden art";""
1239999;"Taxus";"Anden taxus";"Tax - anden art";""
1240000;"Thuja";"Ikke oplyst";"Thuja - art ikke oplyst";""
1240001;"Thuja";"occidentalis";"Almindelig thuja";""
1240002;"Thuja";"plicata";"Kæmpethuja";""
1249999;"Thuja";"Anden thuja";"Thuja - anden art";""
1250000;"Tilia";"Ikke oplyst";"Lind - art ikke oplyst";""
1250001;"Tilia";"cordata";"Småbladet lind";""
1250002;"Tilia";"x europaea";"Parklind eller kejserlind";""
1250003;"Tilia";"platyphyllos";"Storbladet lind";""
1250004;"Tilia";"euchlora";"Lind (Tilia euchlora)";""
1259999;"Tilia";"Anden tilia";"Lind - anden art";""
1260000;"Ulmus";"Ikke oplyst";"Elm - art ikke oplyst";""
1260001;"Ulmus";"glabra";"Skovelm";""
1260002;"Ulmus";"laevis";"Skærmelm";""
1269999;"Ulmus";"Anden ulmus";"Elm - anden art";""
1270000;"Liriodendron";"ikke oplyst";"Tulipantræ - art ikke oplyst";""
1270001;"Liriodendron";"tulipifera";"Almindelig  Tulipantræ";""
1279999;"Liriodendron";"anden liriodendron";"Tulipantræ - anden art";""
