"vedlhold_f_type_kode";"vedlhold_f_type";"aktiv";"vedlhold_f_ type_label";"begrebsdefinition"
123000;"Staudebed";1;"BL3";"branche element"
124000;"Naturstauder";1;"BL4";"branche element"
124010;"Naturstauder - Grønt tag";1;"BL4a";"branche underelement"
125000;"Udplantningsplanter";1;"BL5";"Branche element"
125010;"Udplantningsplanter - Plates Bandes bed";1;"BL5a";"branche underelement"
125020;"Udplantningsplanter - Forårsblomster";1;"BL5b";"branche underelement"
125030;"Udplantningsplanter - Sommerblomster";1;"BL5c";"branche underelement"
125040;"Udplantningsplanter - Vinterblomster";1;"BL5d";"branche underelement"
126000;"Løgvækster";1;"BL6";"branche element"
126010;"Løgtæppe";1;"BL6a";"lokal"
126020;"Løgvækst i blomsterbed";1;"BL6b";"lokal"
127010;"Surbundsbed";1;"BL7a";"lokal"
127020;"Urtebed";1;"BL7b";"lokal"
127030;"Urtebed - biodiversistet";1;"BL7c";"lokal"
161000;"Prydbuske";1;"BU1";"Branche element"
161010;"Prydbuske - Frugtbuske";1;"BU1a";"branche underelement"
161020;"Prydbuske - Formklippede  buske";1;"BU1b";"branche underelement"
162000;"Bunddækkende buske";1;"BU2";"branche element"
163000;"Busket";1;"BU3";"branche element"
181000;"Prydhæk - flade";1;"HA1";"branche element"
182000;"Hæk - flade";1;"HA2";"branche element"
182030;"Hæk - gravsteder - flade";1;"HA2b";"Branche underelement"
183000;"Pur";1;"HA3";"Branche element"
183010;"Pur - helle";1;"HA3g";"lokal"
184000;"Fritvoksende Hæk - flade";1;"HA4";"branche element"
185010;"Kvashegn -flade";1;"HA5a";"lokal"
222000;"Krat";1;"SK2";"Branche element"
223000;"Lund";1;"SK3";"Branche element"
224000;"Skov";1;"SK4";"Branche element"
225000;"Levende hegn";1;"SK5";"Branche element"
226010;"Trægruppe - flade";1;"SK6a";"lokal"
241010;"Naturgræs - høslæt";1;"NA1a";"Lokal (brancheelement Naturarealer)"
241020;"Naturgræs - afbrænding";1;"NA1b";"Lokal (brancheelement Naturarealer)"
241030;"Strand og klit";1;"NA1c";"Lokal (brancheelement Naturarealer)"
241040;"Eng";1;"NA1d";"Lokal (brancheelement Naturarealer)"
241050;"Overdrev";1;"NA1e";"Lokal (brancheelement Naturarealer)"
241060;"Hede";1;"NA1f";"Lokal (brancheelement Naturarealer)"
242010;"Mose";1;"NA2a";"Lokal (brancheelement Naturarealer)"
242020;"Kær";1;"NA2b";"Lokal (brancheelement Naturarealer)"
242030;"Rørsump";1;"NA2c";"Lokal (brancheelement Naturarealer)"
242040;"Vandløb";1;"NA2d";"Lokal (brancheelement Naturarealer)"
261000;"Individuelt gravsted";1;"GS1";"branche element"
261010;"individuelt gravsted -bestilt pleje";1;"GS1a";"branche underelement"
261020;"individuelt gravsted - ledigt gravsted";1;"GS1b";"branche underelement"
261030;"individuelt gravsted - bevaringsværdigt";1;"GS1c";"lokal"
264000;"Fællesgrav / kollektivt gravsted";1;"GS4";"Branche element"
301000;"Bassin";1;"VA1";"branche element"
301010;"Regnvandsbassin";1;"VA1a";"lokal"
302000;"Sø";1;"VA2";"branche element"
302010;"Sø - vandhul";1;"VA2a";"branche underelement"
302020;"Sø - dam";1;"VA2b";"branche underelement"
302030;"Sø - parksø";1;"VA2c";"branche underelement"
302040;"Sø - voldgrav";1;"VA2d";"branche underelement"
302050;"Sø - kanal";1;"VA2e";"branche underelement"
304010;"Badestrand";1;"VA4a";"lokal"
401000;"Fast belægning";1;"FB1";"branche element"
401010;"Fast belægning - Asfalt";1;"FB1a";"branche underelement"
401020;"Fast belægning - Naturstensbelægning";1;"FB1b";"branche underelement"
401030;"Fast belægning - Beton";1;"FB1c";"branche underelement"
401040;"Fast belægning - Klinker";1;"FB1d";"branche underelement"
401050;"Fast belægning - Brolægning";1;"FB1e";"lokal"
401051;"Fast belægning - Helle m. brolægning";1;"FB1j";"lokal"
401052;"Fast belægning - Helle m. asfalt";1;"FB1l";"lokal"
401060;"Fast belægning - Belægningssten";1;"FB1f";"lokal"
401070;"Fast belægning - Sten glacis";1;"FB1g";"lokal"
401080;"Fast belægning - Træ";1;"FB1h";"lokal"
401090;"Fast belægning - Raste-/P-plads";1;"FB1k";"lokal"
402010;"Fortov - renholdt driften";1;"FB2a";"lokal"
412000;"Løs belægning";1;"LB2";"Branche element"
412010;"Løs belægning - Perlesten";1;"LB2a";"branche underelement"
412020;"Løs belægning - Parksti";1;"LB2b";"lokal"
412030;"Løs belægning - Rekreativ sti";1;"LB2c";"lokal"
412040;"Løs belægning - Kunststofbelægning";1;"LB2d";"lokal"
412050;"Løs belægning - Flis";1;"LB2e";"lokal"
412060;"Løs belægning - grus";1;"LB2f";"branche underelement"
412070;"Løs belægning - Helle";1;"LB2g";"lokal"
412080;"Løs belægning - Raste-/P-plads";1;"LB2h";"lokal"
412090;"Løs belægning, Stenmel";1;"LB2i";"lokal"
413000;"Natursti (bynær)";1;"LB3";"Branche element"
413010;"Natursti bynær - Ridesti";1;"LB3a";"lokal"
413020;"Natursti bynær - Muldjord";1;"LB3b";"branche underelement"
413030;"Natursti bynær - Råjord";1;"LB3c";"branche underelement"
413040;"Natursti bynær - Flis/bark";1;"LB3d";"branche underelement"
413050;"Natursti bynær - trampesti";1;"LB3e";"lokal"
413060;"Natursti bynær - klippet sti";1;"LB3f";"lokal"
413070;"Natursti bynær - grus";1;"LB3g";"branche underelement"
414000;"Faldunderlag";1;"LB4";"branche element"
414010;"Faldunderlag - Flis";1;"LB4a";"lokal"
414020;"Faldunderlag - Kunststof";1;"LB8b";"Branche underelement"
414030;"Faldunderlag - Grus";1;"LB8c";"Branche underelement"
414040;"Faldunderlag - Sandkasse";1;"LB4d";"branche underelement"
424000;"Sportsbelægning";1;"SB4";"branche element"
424010;"Sportsbelægning - Kunststof";1;"SB4a";"branche underelement"
424020;"Sportsbelægning - Asfalt";1;"SB4b";"branche underelement"
424030;"Sportsbelægning - Beton";1;"SB4c";"branche underelement"
424040;"Sportsbelægning - Stenmel/grus";1;"SB4d";"branche underelement"
424050;"Sportsbelægning - Jord";1;"SB4e";"lokal"
424060;"Sportsbelægning - Kunstgræs";1;"SB4f";"branche underelement"
424070;"Sportsbelægning - Sand";1;"SB4g";"lokal"
431000;"Trappe og rampe";1;"BY1";"branche element"
431010;"Ophalerplads";1;"BY1a";"lokal"
432000;"Bro";1;"BY2";"branche element"
432020;"Tunnel";1;"BY2b";"lokal"
433000;"Både-/badebro - flade";1;"BY3";"lokal"
434010;"Bygning";1;"BY4a";"lokal"
446100;"Legeudstyr - flade";1;"UD61";"lokal"
961010;"Renhold (uden anden pleje)";1;"RE1a";"lokal"
961011;"Renhold Bef. areal";1;"RE1b";"lokal"
961012;"Renhold Ubef. areal";1;"RE1c";"lokal"
961013;"Renhold Udstyr";1;"RE1d";"lokal"
961014;"Rengøring Toilet";1;"RE1e";"lokal"
961020;"Ukrudts-bekæmpelse";1;"RE3a";"lokal"
971010;"Biodiversitet  øvrig";1;"BD1a";"lokal"
981010;"Andet";1;"AN1a";"lokal"
982010;"Andet ansvar";1;"AN2a";"Lokal, Anvend kun, hvis ansvar er uddelegeret til andre (fx en"
999010;"Ukendt";1;"UK1a";"lokal"
