"facilitet_kode";"facilitet";"aktiv";"begrebsdefinition"
4061;"Modelflyveplads";1;"”Lufthavn” for modelflyvere."
4071;"Skøjtebane";1;"Bane til skøjteløb om vinteren på søer eller kunstige isbaner i byer både indendørs og udendørs."
4081;"Minigolfbane";1;"Anlæg til at spille minigolf på, hvor banelængden normalt er under 10 m."
4091;"Golfbane";1;"En golfbane er et idrætsanlæg, hvorpå man spiller golf. Den består af et antal huller, oftest 18, men for mindre baners vedkommende 9, mens store baner kan have 27 eller 36 huller."
4101;"Discgolfanlæg";1;"Område med udpegede fairways og opstillede ”kurve” til spillet frisbee-golf/discgolf."
4111;"Boldbane";1;"Baner indrettet til boldspil."
4121;"Skydebaneanlæg";1;"En eller flere baner til skydning, fx kort- og langdistanceskydning."
4132;"Pentanquebane";1;"En eller flere baner til petanque."
4142;"Skateranlæg";1;"Anlæg, plads eller bane som rummer anlagte udfordringer til skatere, BMXcykler m.fl."
4152;"Parkouranlæg";1;"Plads/område med særlige faciliteter til at udøve parkour i."
4161;"Rideanlæg";1;"Placering for ridecenter eller –klub."
4172;"Beachvolleybane";1;"Udendørs areal afsat til spillet beachvolley."
4182;"Dykkerspot";1;"Seværdighed under vand."
4191;"Kitesurf område";1;"Område anvist til kitesurfing."
4201;"Windsurfområde";1;"Område anvist til windsurfing."
4211;"Kitebuggyområde";1;"Område anvist til kørsel med kitebuggy."
4222;"Motionsplads";1;"Sted i naturen, hvor der er opstillet div. motionsredskaber til fri afbenyttelse, fx sundhedsplads, motionsplads, fitnessplads, pulspark."
4231;"Flugtskydningsbane";1;"Lerdueskydningsbane."
4241;"Motorsportsbane";1;"Bane, hvor der udøves motorsport."
4251;"Ketchersportsanlæg";1;"Udendørs og/eller indendørs anlæg eller bane til ketchersport, herunder tennis og squash."
4262;"Rulleskøjtebane";1;"Udendørs eller indendørs anlæg indrettet til rulleskøjteløb."
4272;"Klatreanlæg";1;"Område med opsatte klatreudfordringer eller forhindringsbane f.eks. i træer, klatrevægge, wireforløb mm."
4281;"Cricketbane";1;"Bane til spillet Cricket"
4291;"Krolfbane";1;"Bane til spillet Krolf"
4301;"UV-jagtspot";1;"Område der er velegnet til undervands-jagt."
5011;"Forsamlingshus";1;"Et forsamlingshus er byens kulturhus og mødested."
5021;"Museum";1;"Museum er en permanent institution med udstilling og formidling af f.eks. kunst, kulturhistorie eller naturhistorie."
5031;"Teater";1;"Sted, hvor der opføres teater eller andre kulturelle opførelser. Herunder også amfiteater."
5041;"Forlystelsesanlæg";1;"En park med flere faste forlystelser, typisk for hele familien."
5051;"Biograf";1;"En biograf er et sted, sædvanligvis en bygning, hvor man fremviser film."
5061;"Foreningshus";1;"Hus der kan huse en række forskellige foreningers aktiviteter og administration."
5072;"Formidling af fortidsminder";1;"Særligt udvalgte fortidsminder til fokus."
5082;"Historiske steder";1;"Lokalitet eller område, hvor særlige historiske begivenheder har fundet sted."
5092;"Lokal- eller sogne-arkiv";1;"Lokalt arkiv til opbevaring af indsamlet viden om kultur og historie i nærmiljøet – herunder evt også kirkehistorie."
5102;"Kunst";1;"Udendørs kunst, som fx skulpturer, gavlmalerier og land-art"
6011;"Bådplads";1;"Fortøjningssted til både/joller."
6021;"Rostadion";1;"Område på sø til konkurrence roning."
6031;"Umotoriseret sejlads tilladt";1;"Område, hvor det er tilladt at sejle i kano el. lign. Udpeges f.eks. på vandflade, hvor der ellers er generelt sejlforbud."
6042;"Sejlsports- og roklub";1;"Klubhus, hvorfra der udøves sejlsport."
6052;"Kanorasteplads";1;"Rasteplads til kanofarer."
9981;"Andet";1;"Hvor andre facilitetsbetegnelser ikke er dækkende."
9991;"Ukendt";1;"Mangler viden om typen."
